"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 31 00:50:53 CST 2023","Fri Mar 31 00:51:01 CST 2023","8199","keyword","keyword_run","","","","登录密码错误","

    :param case_name:
    :param case: 每条测试用例的详细信息
    :return:
    "
"broken","Fri Mar 31 00:50:45 CST 2023","Fri Mar 31 00:50:48 CST 2023","2714","keyword","keyword_run","","","","登录用户名错误","

    :param case_name:
    :param case: 每条测试用例的详细信息
    :return:
    "
"broken","Fri Mar 31 00:51:09 CST 2023","Fri Mar 31 00:51:40 CST 2023","30967","keyword","keyword_run","","","","创建订单","

    :param case_name:
    :param case: 每条测试用例的详细信息
    :return:
    "
